"Name","Realms","Set","Types","Text","Archetype","Flavortext","Power","Costs","Rarity","CardID","Elemental","Nature","Void","Mortal","Divine","Cost_Sum","Prompt","Artwork 1","Artwork 2","Artwork 3","Artwork 4","Artwork 5","Artwork 6","Artwork 7","Artwork 8","Artwork 9","Artwork 10"
"Wasteland Overlord","Elemental Void","1","Demon Dragon","Deploy: Gain Fear. Whenever you deploy a Unit adjacently, that Unit gains Fear.","","A dragon reborn as a demon of wrath, his rampage carves a path of desolation, unstoppable and unguided.","5","E, V, ?, ?","Rare","","Demon Dragon","","Demon Dragon","","","4","","","","","","","","","","",""
"Alchemist's Incense","Mortal","1","Plant Wizard","Ally Wizard: Glimpse 2.","Wizard ","In his vials swirl the future of medicine and perhaps the key to untold power.","3","M, ?, ?","Common","","Plant Wizard","","","Plant Wizard","","3","","","","","","","","","","",""
"Ambrosia Bee","Mortal","1","Insect","Whenever a friendly Mortal Unit is deployed adjacently, gain +2 Power.","Mortal ","From flower to hive, it crafts a honey so divine, battles are waged over mere droplets of its golden essence.","1","M, ?","Common","","Insect","","","Insect","","2","","","","","","","","","","",""
"Bastion Architect","Mortal","2","Human","Deploy: A friendly Construct Unit in this Lane gains Ward, Taunt, and +2 Power.","Construct ","From his mind, mighty bastions rise and formidable siege engines emerge, playing both sides of war's relentless dance.","2","M, ?, ?","Uncommon","","","","","Human","","3","","","","","","","","","","",""
"Bloodfleet Harpooneer","Mortal","1","Human Hunter","Deploy: Gain Fear. Bury an adjacent Unit.","Control ","A terror of the deep, he and his leviathan companion embody the ruthless spirit of the sea's most notorious pirates.","2","M, M, ?, ?, ?","Rare","","Human Hunter","","","Human Hunter","","5","","","","","","","","","","",""
"Bloodfleet Raider","Mortal","1","Human Hunter","Whenever an friendly Unit is deployed adjacently, gain Taunt.","","With a laugh in the face of danger and a toast to the thrill of the sea, he raids under the Bloodfleet's flag, where freedom is the greatest treasure.","4","M, M, ?, ?","Uncommon","","Human Hunter","","","Human Hunter","","4","","","","","","","","","","",""
"Blue Crusader","Mortal","2","Warrior","Whenever an enemy non-Mortal Unit is deployed adjacently, gain +1 Power.","Mortal ","Crusader","2","M, ?","Common","","","","","Warrior","","2","","","","","","","","","","",""
"Caring Mother","Mortal","1","Human","Crystallize and Deploy: Another friendly Human Unit gains +2 Power.","Human Ramp ","Her gentle lullabies echo promises of greatness, cradled in the heart of the city's forgotten streets.","1","M, ?","Uncommon","","Human","","","Human","","2","","","","","","","","","","",""
"Cinderguard Saboteur","Mortal","1","Human Hunter","","","Underneath the red hood lies a will that cannot be extinguished.","4","M, ?, ?","Common","","Human Hunter","","","Human Hunter","","3","","","","","","","","","","",""
"Dojo Drill Instructor","Mortal","1","Construct Warrior","Deploy: Draw the top Warrior from your Deck. Shuffle your Deck.","Warrior ","Its gears and circuits teach more than combat; they instill discipline that outlasts steel.","2","M, ?, ?","Uncommon","","Construct Warrior","","","Construct Warrior","","3","","","","","","","","","","",""
"Eagle of the Legion","Mortal","2","Animal Human","Start of your Turn: A friendly Human Unit gains Fear or Taunt.","Human ","""See her soar above the battle? That's not just any bird – that's ours, that is. And as long as she's flying, we're winning.""","4","M, M, ?, ?, ?","Rare","","","","","Animal Human","","5","","","","","","","","","","",""
"Filthy Peasant","Mortal","1","Human","Deploy: Gain Taunt.","","In the shadow of grand coliseums and marble halls, he toils, an eternal cog in the city's endless sprawl.","1","M","Common","","Human","","","Human","","1","","","","","","","","","","",""
"Frontier Centurion","Mortal","1","Human Warrior","","","Beyond the empire's walls, his blade draws the line.","5","M, ?, ?, ?, ?","Common","","Human Warrior","","","Human Warrior","","5","","https://alpha.midjourney.com/jobs/e9cfddb2-74e8-4821-93ef-db5a57e9c0e6?index=1","","","","","","","","",""
"Gem Merchant","Mortal","2","Human","Ambush: A Unit was deployed in this Lane this Turn. Unearth: Another friendly Unit in this Lane gains +2 Power.","Unearth ","Remote","2","M, M, ?, ?","Uncommon","","","","","Human","","4","","","","","","","","","","",""
"Gladehost Shotmaster","Mortal","2","Human Hunter","Crystallize: Unleash <N><N>: Bury an enemy Unit adjacent to a friendly Hunter.","Hunter Ramp Control ","In her hands, the bow is not just a weapon, but an extension of the forest's will, precise and deadly.","4","M, M, ?, ?","Uncommon","","","","","Human Hunter","","4","","","","","","","","","","",""
"Gold Colibri","Mortal","1","Animal Construct","Deploy: Every friendly Crystal becomes all Realms until the end of your next Turn.","","A mechanical marvel, blending art and whimsy in its flight.","3","M, ?, ?","Rare","","Animal Construct","","","Animal Construct","","3","","","","","","","","","","",""
"Greedy Senator","Mortal","1","Human","Deploy: Bury each friendly Unit in this Lane to gain its Power.","Control ","For personal gain, he'd unbalance the scales of power.","4","M, M, ?, ?","Rare","","Human","","","Human","","4","","","","","","","","","","",""
"Imperial Tyrant","Mortal","2","Human","Crystallize, Deploy and Conquer: Draw a Card if you are leading in Lanes.","Ramp Aggro ","Lead","3","M, ?","Rare","","","","","Human","","2","","","","","","","","","","",""
"Ironclad Jailwalker","Mortal","1","Construct","Conquer: Your Opponent buries one of their Units in the conquered Lane.","Control Aggro ","Neither walls nor bars, but a walking prison, relentless in its pursuit of order.","2","M, M, ?, ?","Uncommon","","Construct","","","Construct","","4","","","","","","","","","","",""
"Ironstride Courser","Mortal","1","Animal Construct","Deploy: Choose one: - Each other friendly Unit in this Lane gets +1 Power. - Gain +3 Power.","","In the tumult of war, some tasks demand the relentless charge of reinforced steel.","3","M, M, ?, ?, ?, ?","Common","","Animal Construct","","","Animal Construct","","6","","","","","","","","","","",""
"Legion of the Moonspear","Mortal","2","Spirit Warrior","Deploy: If you are leading in Units, deploy a friendly Warrior Crystal.","Warrior ","Each step echoes their oath, each breath a testament to their unyielding resolve in the face of darkness.","3","M, ?, ?","Uncommon","","","","","Spirit Warrior","","3","","","","","","","","","","",""
"Makeshift Militia","Mortal","2","Human Warrior","Whenever a friendly Common Unit is deployed adjacently, give it +1 Power.","","From farmers to fools, all stand together when peril knocks.","2","M","Common","","","","","Human Warrior","","1","","","","","","","","","","",""
"Master Strategist","Mortal","2","Human Hunter","Conquer: Obscure for each friendly Unit in the conquered Lane.","Aggro ","Obscure","4","M, ?, ?, ?, ?","Uncommon","","","","","Human Hunter","","5","","","","","","","","","","",""
"Moonspear Wraithknight","Mortal","2","Spirit Warrior","Crystallize: This Turn, if you conquered a Lane, you may deploy this.","Ramp Aggro ","No longer a man, but a phantom of duty, he haunts the battlefield, eternally loyal to his chapter's cause.","4","M, ?, ?, ?, ?","Uncommon","","","","","Spirit Warrior","","5","","","","","","","","","","",""
"Mountblade Squire","Mortal","2","Human","Conquer: Gain +3 Power.","Aggro ","???","1","M","Common","","","","","Human","","1","","","","","","","","","","",""
"Old Bessy","Mortal","1","Animal","Deploy: Unleash <E><D><M><N><V>: Double the Power of all adjacent friendly Units.","Ramp ","Ancient eyes, a witness to empires' rise and fall.","3","M, ?, ?, ?","Rare","","Animal","","","Animal","","4","","","","","","","","","","",""
"Old Fisherman","Mortal","2","Human Hunter","Deploy: Gain Taunt. Whenever an Rare Unit is deployed adjacently, gain +3 Power.","","Ayo, son! Look at that catch!","3","M, ?, ?, ?, ?","Common","","","","","Human Hunter","","5","","","","","","","","","","",""
"Paragon of Conquest","Mortal","1","Human Warrior","Conquer: If you've won three Lanes, you win the Game.","Aggro ","Lead","7","M, M, M, ?, ?, ?","Rare","","Human Warrior","","","Human Warrior","","6","","","","","","","","","","",""
"Pinwheel Illusionist","Mortal","2","Human Wizard","Deploy: You may copy the 'Deploy' ability of a friendly Mortal Unit in this Lane.","Mortal Copy ","With each gesture, he captures the essence of another, a spectral echo of their abilities becoming his own.","3","M, M, ?, ?","Uncommon","","","","","Human Wizard","","4","","","","","","","","","","",""
"Pocket Dragon","Mortal","1","Dragon","Deploy: Choose one: - You may move an adjacent friendly Unit. - Draw a Card.","Move","In the tranquility of his mundane home, this tiny dragon frolics, a creature more akin to playful pet than fearsome beast.","2","M, M, ?, ?","Common","","Dragon","","","Dragon","","4","","","","","","","","","","",""
"Prime Golem","Mortal","1","Construct","Deploy: Move a friendly Construct Unit in this Lane.","Construct Move","From the world's earliest tales, this colossal guardian emerges, embodying the enduring legacy of its first creators.","4","M, ?, ?, ?","Common","","Construct","","","Construct","","4","","","","","","","","","","",""
"Quadriga of Triumph","Mortal","2","Construct","Crystallize: Gain Crystalborn. Conquer: All friendly Units in the conquered Lane gain +1 Power.","Ramp Aggro ","From the thunder of war to the silence of memory, this monument bears the legacy of an empire's greatest triumphs.","3","M, M, ?, ?","Uncommon","","","","","Construct","","4","","","","","","","","","","",""
"Rampart Shellback","Mortal","1","Dinosaur Warrior","Conquer: Double the Power of an adjacent friendly Unit.","Aggro ","Ankylosaurus","3","M, M, ?, ?","Uncommon","","Dinosaur Warrior","","","Dinosaur Warrior","","4","","","","","","","","","","",""
"Recruiting Officer","Mortal","2","Human","Deploy: Draw the top Card of your Deck that shares a Type with an adjacent friendly Unit. Shuffle your deck.","","More than a mere selector, he is a sculptor of potential, molding the empire's greatest asset – its warriors.","3","M, M, ?, ?","Uncommon","","","","","Human","","4","","","","","","","","","","",""
"Remnant of the Quiet Springs","Mortal","0","Animal Spirit","Crystallize: A friendly Animal Unit gets +1 Power for each adjacent free Slot.","Animal Ramp ","With every gentle hop, it weaves enchantment, protecting a spring whose whispers speak of ageless mysteries.","4","M, ?, ?, ?, ?","Uncommon","","","","","Animal Spirit","","5","","","","","","","","","","",""
"Sandring Pridemane","Mortal","2","Animal Warrior","Deploy: Gain Fear. If you are Leading in Lanes, gain +4 Power.","","Lead","2","M, M, ?","Uncommon","","","","","Animal Warrior","","3","","","","","","","","","","",""
"Scalehide Trapper","Mortal","1","Human Hunter","Ambush: An enemy Unit with 6 or more Power was deployed adjacently this Turn. Unearth: Bury an adjacent enemy Unit.","Unearth Control ","Against the backdrop of roaring giants, his silent patience weaves the web that brings titans to their knees.","3","M, ?, ?, ?","Uncommon","","Human Hunter","","","Human Hunter","","4","","","","","","","","","","",""
"Scapegoat","Mortal","2","Animal","When a friendly Unit with a 'Ritual' ability is deployed, you may bury this to copy that Unit's 'Ritual' ability.","Unearth Control Copy ","Ritual","1","M","Common","","","","","Animal","","1","","","","","","","","","","",""
"Siegebreaker","Mortal","1","Animal Warrior","Deploy: If you have another Warrior Unit, gain Ward.","Warrior ","An unstoppable juggernaut under the Empire's banner.","6","M, M, M, ?","Common","","Animal Warrior","","","Animal Warrior","","4","","","","","","","","","","",""
"Snow Crane","Mortal","1","Animal","Deploy: Draw a Card.","","Its elegant presence blesses the new year with hopes of prosperity and vitality.","2","M, M","Common","","Animal","","","Animal","","2","","","","","","","","","","",""
"Stormforged Recruit","Mortal","1","Human Warrior","Ally of Mortal: +3 Power.","Mortal ","Baptized in rain and thunder, from the chaos of war emerged a true hero.","1","M, ?","Common","","Human Warrior","","","Human Warrior","","2","","","","","","","","","","",""
"Supply Camel","Mortal","1","Animal Warrior","Deploy: A friendly Animal or Warrior in this Lane gains +3 Power.","Animal Warrior ","Carrying the weight of war, one step at a time.","0","M, ?, ?, ?","Common","","Animal Warrior","","","Animal Warrior","","4","","","","","","","","","","",""
"Surly Donkey","Mortal","2","Animal","Deploy: Gain Taunt. Another friendly Mortal Unit with the lowest Power in this Lane gets +2 Power.","Mortal ","A grumbling companion on many a journey, its stubbornness is as legendary as its burden-bearing resilience.","1","M, ?","Common","","","","","Animal","","2","","","","","","","","","","",""
"The Grand Ruiner","Mortal","2","Construct Warrior","Deploy: Gain Ward. Whenever a friendly Unit ascends, that Unit gains +4 Power.","Ascend ","Ascend","6","M, M, ?, ?, ?, ?","Rare","","","","","Construct Warrior","","6","","","","","","","","","","",""
"Tilling Yoke Beast","Mortal","1","Dinosaur","Whenever you crystallize a Mortal Crystal, another friendly Unit gains +2 Power.","Mortal Ramp ","Ordinary beasts cause only an ordinary harvest.","6","M, M, ?, ?, ?, ?","Rare","","Dinosaur","","","Dinosaur","","6","","","","","","","","","","",""
"Trading Post Camel","Mortal","2","Animal Warrior","Ascend: Mortal.","Mortal Ascend ","Ascend","1","M","Common","","","","","Animal Warrior","","1","","","","","","","","","","",""
"Trapmaster","Mortal","1","Human Hunter","Deploy: Copy the 'Unearth' ability of a friendly Unit.","Unearth Copy ","In the game of predator and prey, she crafts her cunning into every snare, her ambition as boundless as the wilds.","2","M, M, ?","Uncommon","","Human Hunter","","","Human Hunter","","3","","","","","","","","","","",""
"Trusty Companion","Mortal","1","Animal","Ally of Human: Draw a Card and gain Fear.","Human ","At a soldier's side, steadfast and brave, this canine heart knows no fear, only loyalty.","2","M, ?, ?","Common","","Animal","","","Animal","","3","","","","","","","","","","",""
"Wayward Automaton","Mortal","2","Construct Hunter","Deploy: Glimpse equal to the number of buried Units.","","Every arrow it loosed flew awry, a spectacle of failed ambition. Now, it walks the battlefield, an arsenal on legs, indispensable in its own way.","5","M, M, ?, ?, ?","Common","","","","","Construct Hunter","","5","","","","","","","","","","",""
"Battle Ant Dreadnought","Mortal Nature","2","Insect Warrior","Deploy and Start of your Turn: Randomly gain either Ward, Taunt, Fear.","","Ascend","7","M, N, N, ?, ?, ?","Uncommon","","","Insect Warrior","","Insect Warrior","","6","","","","","","","","","","",""
"Gladehost Kyudo Master","Mortal Nature","1","Bannerbearer Human Hunter","","","Within the silent woods, his arrow flies true, a dance of precision and harmony with nature's rhythm.","2","M, N","Common","","Bannerbearer Human Hunter","Bannerbearer Human Hunter","","Bannerbearer Human Hunter","","2","","","","","","","","","","",""
"Rune Whisperer","Mortal Nature","2","Spirit","Deploy: You may return a friendly Crystal to your Hand to crystallize a Card from your Hand.","Ramp Copy ","With each ethereal touch, it awakens the ancient scripts, a bridge between the Shards and the arcane truths they hold.","3","M, N, ?, ?","Uncommon","","","Spirit","","Spirit","","4","","","","","","","","","","",""
"Starborne Basilisk","Mortal Nature","1","Animal Dragon","Deploy: Take an additional Turn.","","Eclipsing suns and moons in its flight, the Starborne Basilisk weaves the future and past into the tapestry of the present.","3","M, M, N, N, ?, ?, ?","Rare","","Animal Dragon","Animal Dragon","","Animal Dragon","","7","","","","","","","","","","",""
"The Holy Chicken","Mortal Nature","2","Animal Spirit","Crystallize: Choose a Realm. Until end of your Turn, all your Crystals also become Crystals of that Realm.","Ramp ","????????","2","M, N, ?","Uncommon","","","Animal Spirit","","Animal Spirit","","3","","","","","","","","","","",""
"The Life Tree","Mortal Nature","2","Plant","Start of your Turn: An adjacent Unit with lower Power than this gains +1 Power.","","","3","M, N, ?, ?","Uncommon","","","Plant","","Plant","","4","","","","","","","","","","",""
"Trained War Elephant","Mortal Nature","1","Animal Warrior","Deploy: Gain +1 Power for each friendly Mortal Crystal.","Mortal ","A titan among soldiers, its tusks carve a path of destruction, turning enemy lines into mere memories.","3","M, M, N, ?","Uncommon","","Animal Warrior","Animal Warrior","","Animal Warrior","","4","","","","","","","","","","",""
"Zodiac Samurai","Mortal Nature","2","Human Warrior","Deploy: Gain Ward. Gain +1 Power for each Animal.","Animal ","Bearing the might of the zodiac's beasts, his swordplay echoes the patterns written in the night sky.","3","M, N, ?, ?","Uncommon","","","Human Warrior","","Human Warrior","","4","","","","","","","","","","",""
"Chalice Bloodbrewer","Mortal Void","1","Angel Undead","Deploy: Bury a friendly Mortal Crystal and gain its Power.","Mortal Control Empty-Crystal","In her ancient veins flows the command of night's children, her will bending the undead to her dark desires.","1","M, V, V, ?","Uncommon","","Angel Undead","","Angel Undead","Angel Undead","","4","","","","","","","","","","",""
"Crescent Oracle","Mortal Void","2","Human","Deploy: Choose one: You may bury a Crystal. - You may unearth a Crystal.","Unearth Control ","Empty Crystal","3","M, V, ?, ?","Uncommon","","","","Human","Human","","4","","","","","","","","","","",""
"Forsaken Aristocrat","Mortal Void","1","Bannerbearer Human Undead","","","Once adored in grand halls, now lurking in shadowed corners, thirsting for more than just respect.","2","M, V","Common","","Bannerbearer Human Undead","","Bannerbearer Human Undead","Bannerbearer Human Undead","","2","","","","","","","","","","",""
"Gemcrazed Clown","Mortal Void","2","Demon Wizard","Deploy: You may unearth a Crystal to draw a Card.","Unearth ","Empty Crystal","3","M, V, ?","Uncommon","","","","Demon Wizard","Demon Wizard","","3","","","","","","","","","","",""
"Necromancer","Mortal Void","1","Demon Wizard","Deploy: Deploy a friendly Spirit Crystal or friendly Undead Crystal adjacently.","Undead Spirit ","In the forgotten corners of the realm, he crafts his rebellion, an army born of death and bound to his dark will.","2","M, M, V, ?, ?","Rare","","Demon Wizard","","Demon Wizard","Demon Wizard","","5","","","","","","","","","","",""
"Sanguine Student","Mortal Void","2","Human Undead","Ally of Void: Bury an adjacent enemy Common Unit.","Void Control ","Once a scion of privilege, now a student of the night, he sharpens his fangs on the unsuspecting, building his dark legacy.","2","M, V, ?, ?","Uncommon","","","","Human Undead","Human Undead","","4","","","","","","","","","","",""
"Shade in the Alley","Mortal Void","2","Demon Human","Ambush: This Turn, your Opponent conquered this Lane. Unearth: Bury an enemy Unit with the lowest Power in this Lane.","Unearth Control Aggro ","","3","M, V, ?, ?, ?","Uncommon","","","","Demon Human","Demon Human","","5","","","","","","","","","","",""
"Vindictive Forsaken","Mortal Void","2","Undead","Whenever a Common Unit is deployed adjacently, bury a friendly Crystal.","Control ","","7","M, V, V, ?, ?, ?","Uncommon","","","","Undead","Undead","","6","","","","","","","","","","",""
"Willing Sacrifice","Mortal Void","2","Human","Start of your Turn: You may bury this to draw the top Rare Unit from your Deck. Shuffle your Deck.","Control ","","1","M, V","Common","","","","Human","Human","","2","","","","","","","","","","",""
"Alpha of the Stampede","Nature","1","Dinosaur","Deploy: Move a friendly Dinosaur Unit into an adjacent empty Slot.","Dinosaur Move","Dinosaurs","3","N, ?, ?","Common","","Dinosaur","Dinosaur","","","","3","","","","","","","","","","",""
"Amethyst Argosaurus","Nature","1","Construct Dinosaur","Crystallize: A friendly Dinosaur Crystal gains Crystalborn.","Dinosaur Ramp ","Veined with amethyst shards, its massive form pulsates with raw, unbridled energy.","6","N, N, ?, ?, ?","Uncommon","","Construct Dinosaur","Construct Dinosaur","","","","5","","","","","","","","","","",""
"Arcane Gorgosaur","Nature","1","Dinosaur Wizard","Deploy and Crystallize: Unleash <N><N><N><N>: Deploy the top Card of your Deck.","Ramp ","A behemoth of prehistoric mysticism, it commands the elements, sculpting the world as it has for eons.","4","N, N","Rare","","Dinosaur Wizard","Dinosaur Wizard","","","","2","","","","","","","","","","",""
"Armordillo","Nature","2","Animal","Ascend: Nature. Deploy: Gain Taunt and +3 Power.","Nature Ascend ","Ascend","0","N, ?","Rare","","","Animal","","","","2","","","","","","","","","","",""
"Astral Unicorn","Nature","1","Animal","Deploy: Gain +1 Power for each Realm of friendly Crystals.","","Bathed in starlight, it roams the world, a mystical beacon in the vastness of the night sky.","4","N, N, ?, ?, ?","Uncommon","","Animal","Animal","","","","5","","","","","","","","","","",""
"Bloodclaw","Nature","1","Demon Dinosaur","Deploy: Each Player crystallizes the top Card of their Deck.","Ramp ","In its monstrous stride, the ground trembles, heralding a primal horror from the depths of damnation.","6","N, N, ?, ?","Rare","","Demon Dinosaur","Demon Dinosaur","","","","4","","","","","","","","","","",""
"Blossombeast","Nature","2","Animal Plant","Deploy: If you have 12 or fewer Cards in your Deck, gain +3 Power. If you have more than 6 Crystals, gain +3 Power. If you have more than 4 Cards in Hand, gain +3 Power.","","Deck","3","N, N, ?, ?","Rare","","","Animal Plant","","","","4","","","","","","","","","","",""
"Bug Curator","Nature","2","Human","Deploy: Draw the top Insect from your Deck. Shuffle your Deck.","Insect ","In his care, the smallest creatures find grand purpose, each insect a piece in his ever-growing collection.","2","N, ?, ?","Uncommon","","","Human","","","","3","","","","","","","","","","",""
"Buzzing Hivetitan","Nature","2","Dinosaur Insect","Crystallize: Unleash <?><?><?>: You may deploy an Insect from your Hand.","Insect Ramp ","Insects","5","N, N, ?, ?, ?, ?","Uncommon","","","Dinosaur Insect","","","","6","","","","","","","","","","",""
"Caleidoscope Spider","Nature","2","Insect Hunter","Ambush: An enemy Unit moved or gained Power this Turn. Unearth: Cleanse an enemy Unit.","Unearth Control Move","Remote","4","N, N, ?, ?","Common","","","Insect Hunter","","","","4","","","","","","","","","","",""
"Calming Apparition","Nature","1","Animal Spirit","Crystallize: Gain Crystalborn.","Ramp ","Bathed in an otherworldly glow, it guides lost souls through the cold, a beacon of peace in the hushed wilderness.","2","N","Common","","Animal Spirit","Animal Spirit","","","","1","","","","","","","","","","",""
"Caring Matriarch","Nature","1","Dinosaur","Deploy: You may crystallize the top Card of your Deck.","Ramp ","Beneath a caring guise, ferocity lurks; woe to those who threaten her brood in the wild depths.","2","N, ?, ?","Uncommon","","Dinosaur","Dinosaur","","","","3","","","","","","","","","","",""
"Darkwood Tracker","Nature","1","Plant Hunter","Ambush: This Turn, an Enemy Unit was deployed in this Lane. Unearth: Draw the top Hunter of your Deck.","Hunter Unearth ","Where the forest's embrace tightens into a snare, her guidance is a gentle reprieve, her aim true against threats unseen.","3","N, ?, ?","Common","","Plant Hunter","Plant Hunter","","","","3","","","","","","","","","","",""
"Duke of the Grove","Nature","1","Angel Plant","Deploy: Deploy a friendly Plant Crystal adjacently.","Plant ","In his verdant realm, he summons life with a mere thought, master of the green and growing.","4","N, N, ?, ?, ?","Rare","","Angel Plant","Angel Plant","","","","5","","","","","","","","","","",""
"Emerald Fang Cobra","Nature","1","Animal Hunter","Ambush: An enemy Crystal was crystallized this Turn.","Unearth Ramp ","Its venomous fangs gleam like emeralds in the shadows, a silent harbinger of nature's treacherous beauty.","3","N, ?, ?","Common","","Animal Hunter","Animal Hunter","","","","3","","","","","","","","","","",""
"Entwining Creeper","Nature","2","Insect Plant","Ritual of Plant: Gain +4 Power. Ritual of Insect: Draw a Card.","Insect Plant Unearth ","","4","N, ?, ?, ?","Common","","","Insect Plant","","","","4","","","","","","","","","","",""
"Fairgrove Dryad","Nature","2","Human Plant","Ascend: Plant. When this ascends, draw the top Plant of your Deck. Shuffle your Deck.","Plant Ascend ","Ascend","2","N, ?","Common","","","Human Plant","","","","2","","","","","","","","","","",""
"Fairy Fountain","Nature","0","Spirit Construct","Crystallize: Gain Crystalborn. Each Player draws 2 Cards.","Ramp ","A hidden glade where the water whispers ancient spells, and the air shimmers with pixie dust.","4","N, N, ?, ?","Uncommon","","","Spirit Construct","","","","4","","","","","","","","","","",""
"Gigantic Terrormaw","Nature","1","Dinosaur","","","From the depths of the mangroves, devastation awoke.","8","N, N, N, ?, ?, ?","Common","","Dinosaur","Dinosaur","","","","6","","","","","","","","","","",""
"Goliath Beetle","Nature","2","Insect","","","With strength unrivaled, it moves with ease, crushing canopy and forest beneath its mighty carapace.","7","N, N, ?, ?, ?, ?, ?","Common","","","Insect","","","","7","","","","","","","","","","",""
"Green Crusader","Nature","2","Crusader Warrior","Whenever an enemy Unit of a different Realm is deployed adjacently, gain +1 Power.","","Crusader","2","N, ?","Common","","","Crusader Warrior","","","","2","","","","","","","","","","",""
"Grizzly Trap","Nature","2","Animal Construct","Ambush: This Turn, your Opponent conquered this Lane. Unearth: Bury an enemy Unit with the highest Power in this Lane.","Unearth Control Aggro ","No wild monster can escape its iron jaws, be it bear or behemoth.","2","N, N, ?, ?, ?, ?, ?","Uncommon","","","Animal Construct","","","","7","","","","","","","","","","",""
"Jeweled Triceratops","Nature","1","Construct Dinosaur","Deploy: Unleash <N><N><N>: Glimpse 1 and crystallize the top Card of your Deck. ","Ramp ","Imbued with crystalline power, its every charge shimmers with the energy of the shattered cosmos.","5","N, N, ?, ?, ?","Common","","Construct Dinosaur","Construct Dinosaur","","","","5","","","","","","","","","","",""
"Jolly Tamarin","Nature","1","Animal","Ambush: This Turn, you glimpsed. Unearth: Draw a Card.","Unearth ","Among the treetops, its laughter echoes, a sprightly trickster with treasures hidden in the green vaults above.","2","N, ?","Common","","Animal","Animal","","","","2","","","","","","","","","","",""
"Leech Dragonfly","Nature","1","Insect","Deploy: Move all Tokens from an adjacent Unit to a friendly Insect Unit.","Insect Move","In its swift flight lies a deadly purpose, a tiny terror with the power to fell giants.","3","N, N, ?, ?","Uncommon","","Insect","Insect","","","","4","","","","","","","","","","",""
"Little Lamb","Nature","2","Animal","Ascend: Animal. Whenever a friendly Animal Unit is deployed adjacently, gain +1 Power.","Animal Ascend ","Ascend","1","N, ?","Common","","","Animal","","","","2","","","","","","","","","","",""
"Living Thicket","Nature","1","Plant Spirit","","","Amidst the emerald canopy, the heart of the forest is beating.","4","N, N, ?","Common","","Plant Spirit","Plant Spirit","","","","3","","","","","","","","","","",""
"Mantis Queen","Nature","2","Hunter Insect","Deploy: Unearth a friendly Unit with Ambush. Draw a Card for each other friendly Hunter Unit.","Hunter Unearth ","""The air thrums with the wings of her swarm. The Mantis Queen, a silent empress, orchestrates the chaos into a symphony. I am, against my better judgment, in awe.""","5","N, N, ?, ?, ?","Rare","","","Hunter Insect","","","","5","","","","","","","","","","",""
"Nurseplant","Nature","1","Plant","Ally of Plant: Draw a Card.","Plant ","In the heart of the forest's embrace, it stands as a healer and guardian.","3","N, N, ?","Common","","Plant","Plant","","","","3","","","","","","","","","","",""
"Nurturing Rootsaurus","Nature","1","Dinosaur Plant","Deploy: Unleash <N><N><N>: +4 Power.","Ramp ","Among the ancient ferns, it reigns as a guardian of growth.","2","N","Common","","Dinosaur Plant","Dinosaur Plant","","","","1","","","","","","","","","","",""
"Nutrient Nexus","Nature","1","Plant","Deploy: Adjacent friendly Plant Units gain +2 Power.","Plant ","Roots deep in ancient soil, it weaves life into every leaf and vine, a pulse of growth in the wilderness.","2","N, ?","Common","","Plant","Plant","","","","2","","","","","","","","","","",""
"One Eyed Dread","Nature","1","Dinosaur Demon","Crystallize: Gain Crystalborn. Deploy: Gain Fear.","Ramp ","The jungle quivers under its cyclopean stare.","5","N, N, N, ?, ?","Uncommon","","Dinosaur Demon","Dinosaur Demon","","","","5","","","","","","","","","","",""
"Packhunting Crystalbeast","Nature","2","Dinosaur Hunter","Ally of Dinosaur: You may return an adjacent Unit to its Owner's Hand.","Dinosaur Copy ","Dinosaurs","4","N, N, ?, ?, ?","Common","","","Dinosaur Hunter","","","","5","","","","","","","","","","",""
"Pebble Gekko","Nature","0","Animal Plant","Crystallize: A friendly Unit gains Fear.","Ramp ","Its stony eyes hold a timeless curse, turning the living to monuments of their last moments.","5","N, N, ?, ?, ?","Common","","","Animal Plant","","","","5","","","","","","","","","","",""
"Platinum Ladybug","Nature","2","Insect","Deploy: Draw the top Nature Unit with 5 or more Power. Shuffle your Deck.","Nature ","In its gleaming flight, the secrets of the wild are revealed, a tiny harbinger of nature's forces.","1","N, ?, ?","Uncommon","","","Insect","","","","3","","","","","","","","","","",""
"Plunderpillar","Nature","1","Insect","Deploy: Move a Token from an adjacent Unit to a friendly Insect.","Insect Move","As it devours the ambient energy, the enigma of its final form keeps all who witness it guessing, a tiny creature with boundless potential.","2","N, ?","Common","","Insect","Insect","","","","2","","","","","","","","","","",""
"Pollen Buzz","Nature","1","Insect Plant","Deploy: For each friendly Nature Crystal, the friendly Unit with the lowest Power gains +1 Power.","Nature ","The outstanding blooming beauty of the Selen flower fields are the outcome of yet another one of nature's happy accidents.","4","N, N, ?, ?, ?, ?","Uncommon","","Insect Plant","Insect Plant","","","","6","","","","","","","","","","",""
"Primal Horde","Nature","2","Animal","Crystallize: Unleash <?><?><?><?>: Deploy the top Animal of your Deck. Your Opponent draws a Card.","Animal Ramp ","To this day, seekers of truth and hunters of legend traverse the ends of the earth, hoping to catch but a glimpse of the Crystal Behemoth. For it is said that to look upon it is to grasp the threads that weave the fabric of existence itself.","6","N, N, N, ?, ?, ?","Rare","","","Animal","","","","6","","","","","","","","","","",""
